what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1374483295985
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1374483295987
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1374483295988
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1374483295989
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1374483296014
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1374483296014
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1374483296015
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1374483296015
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1374483296016
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1374483296032
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1374483296033
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1374483296033
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1374483296034
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1374483296052
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1374483296052
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1374483296054
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1374483296055
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1374483296056
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1374483296075
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1374483296075
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1374483296076
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1374483296076
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1374483296078
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1374483296104
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1374483296105
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1374483296106
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1374483296106
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1374483296107
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1374483296107
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1374483296108
os,sysinfo,,,"win32",1374483296111
arch,sysinfo,,,"x86_64",1374483296111
ws,sysinfo,,,"win32",1374483296111
locale,sysinfo,,,"de_AT",1374483296111
processors,sysinfo,,,"2",1374483296111
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374483296111
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1374483296111
java.specification.name,sysinfo,,,"Java Platform API Specification",1374483296111
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374483296111
java.specification.version,sysinfo,,,"1.6",1374483296111
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1374483296111
java.version,sysinfo,,,"1.6.0_21",1374483296111
java.vm.info,sysinfo,,,"mixed mode",1374483296111
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1374483296111
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374483296111
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374483296111
java.vm.specification.version,sysinfo,,,"1.0",1374483296111
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1374483296111
java.vm.version,sysinfo,,,"17.0-b16",1374483296111
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374483303558
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374483303565
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1374483303588
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483307546
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1374483331954
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1374483331974
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1374483332700
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1374483332702
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1374483332707
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1374483332935
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1374483332971
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1374483333102
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1374483333198
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1374483333339
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1374483333533
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1374483333552
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1374483333686
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1374483333880
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1374483334013
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1374483334030
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.402.v201009081300,"org.eclipse.jst.j2ee.navigator.ui",1374483334164
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1374483334882
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1374483334888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483335038
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1374483335054
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1374483338269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483351526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483352717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483353229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483355570
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1374483356682
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1374483356683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483356922
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1374483359433
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1374483359459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483359511
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1374483359516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1374483359516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483361780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483372353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1374483372367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483372988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483422878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483425029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483452253
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1374483453378
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1374483453394
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1374483453499
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1374483453499
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1374483453775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483457457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483459334
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374483459339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1374483459758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483464942
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1374483470746
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1374483470770
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1374483470773
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1374483470778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483471274
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374483471284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483480085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483481067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483481072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483801648
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374483803751
error,log,,,"Problems saving workspace",1374483805531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1374483805676
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1374483805896
